Name|||Email|||Faculty|||UserID|||Password
CHERN|||YCHERN@e.ntu.edu.sg|||SCSE|||YCHERN|||Password1
KOH|||KOH1@e.ntu.edu.sg|||ADM|||KOH1|||Password1
BRANDON|||BR015@e.ntu.edu.sg|||EEE|||BR015|||Password1
CALVIN|||CT113@e.ntu.edu.sg|||SCSE|||CT113|||Password1
CHAN|||YCN019@e.ntu.edu.sg|||NBS|||YCN019|||Password1
DENISE|||DL007@e.ntu.edu.sg|||SCSE|||DL007|||Password1
DONG|||DON84@e.ntu.edu.sg|||ADM|||DON84|||Password1
ERNEST|||ELI34@e.ntu.edu.sg|||EEE|||ELI34|||Password1
LEE|||LE51@e.ntu.edu.sg|||SCSE|||LE51|||Password1
LIU|||SL22@e.ntu.edu.sg|||NBS|||SL22|||Password1
RAWAL|||AKY013@e.ntu.edu.sg|||SSS|||AKY013|||Password1
