Name|||Email|||Faculty|||UserID|||Password|||FirstLogin|||CampCommittee
CHERN|||YCHERN@e.ntu.edu.sg|||SCSE|||YCHERN|||password|||true|||false
KOH|||KOH1@e.ntu.edu.sg|||ADM|||KOH1|||Password1|||false|||true
BRANDON|||BR015@e.ntu.edu.sg|||EEE|||BR015|||Password1|||false|||false
CALVIN|||CT113@e.ntu.edu.sg|||SCSE|||CT113|||password|||true|||false
CHAN|||YCN019@e.ntu.edu.sg|||NBS|||YCN019|||password|||true|||false
DENISE|||DL007@e.ntu.edu.sg|||SCSE|||DL007|||Password1|||false|||false
DONG|||DON84@e.ntu.edu.sg|||ADM|||DON84|||password|||true|||false
ERNEST|||ELI34@e.ntu.edu.sg|||EEE|||ELI34|||password|||true|||false
LEE|||LE51@e.ntu.edu.sg|||SCSE|||LE51|||password|||true|||false
LIU|||SL22@e.ntu.edu.sg|||NBS|||SL22|||password|||true|||false
RAWAL|||AKY013@e.ntu.edu.sg|||SSS|||AKY013|||password|||true|||false
